institute_id,name,link,tlr,rpc,go,oi,perception,city,state,score,rank
IR-E-U-0237,National Institute of Technology Karnataka,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0237.pdf,68.93,46.03,78.67,55.24,55.59,Surathkal,Karnataka,61.3,13
IR-E-U-0439,Anna University,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0439.pdf,64.62,54.07,61.5,51.62,68.24,Chennai,Tamil Nadu,59.89,14
IR-E-U-0490,Vellore Institute of Technology,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0490.pdf,56.79,64.06,63.07,58.21,46.29,Vellore,Tamil Nadu,59.32,15
IR-E-U-0357,National Institute of Technology Rourkela,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0357.pdf,64.38,57.82,74.3,47.23,30.48,Rourkela,Odisha,59.29,16
IR-E-U-0575,Jadavpur University,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0575.pdf,53.73,62.04,76.45,40.45,51.61,Kolkata,West Bengal,59.23,17
IR-E-U-0308,Institute of Chemical Technology,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0308.pdf,68.13,54.04,74.66,45.17,25.98,Mumbai,Maharashtra,58.7,18
IR-E-U-0025,National Institute of Technology Warangal,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0025.pdf,73.38,38.12,74.21,57.81,36.91,Warangal,Telangana,57.76,19
IR-E-U-0436,Amrita Vishwa Vidyapeetham,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0436.pdf,65.77,56.76,59.0,60.07,28.01,Coimbatore,Tamil Nadu,57.37,20
IR-E-U-0584,Indian Institute of Engineering Science and Technology,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0584.pdf,69.57,47.62,63.17,47.92,45.56,Shibpur,West Bengal,57.14,21
IR-E-U-0355,Indian Institute of Technology Bhubaneswar,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0355.pdf,77.05,37.17,64.77,56.27,39.56,Bhubaneswar,Odisha,56.8,22
IR-E-U-0263,National Institute of Technology Calicut,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0263.pdf,71.05,31.3,78.29,63.87,38.04,Kozhikode,Kerala,56.56,23
IR-E-U-0139,Indian Institute of Technology Gandhinagar,https://nirfcdn.azureedge.net/2020/pdf/Engineering/IR-E-U-0139.pdf,83.76,34.55,55.15,57.9,38.26,Gandhinagar,Gujarat,56.15,24
